ID,IMDB ID,Title,Original Title,Spoken Languages,Collection,Release Date,Genres,Tagline,Overview,Runtime,Production Companies,Production Countries,Budget,Revenue,Vote Average,Vote Count,Popularity,Homepage,Status,Poster Path
78,tt0083658,Blade Runner,Blade Runner,"English, Deutsch, 广州话 / 廣州話, 日本語, Magyar",Blade Runner Collection,1982-06-25,"Science Fiction, Drama, Thriller",Man has made his match... now it's his problem.,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",117 mins,"Shaw Brothers, Warner Bros., The Ladd Company","United States of America, Hong Kong, United Kingdom","28,000,000","33,139,618",7.9,"3,833",96.272374,http://www.warnerbros.com/blade-runner,Released,/p64TtbZGCElxQHpAMWmDHkWJlH2.jpg
771,tt0099785,Home Alone,Home Alone,English,Home Alone Collection,1990-11-09,"Comedy, Family",A Family Comedy Without the Family.,"Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. But when a pair of bungling burglars set their sights on Kevin's house, the plucky kid stands ready to defend his territory. By planting booby traps galore, adorably mischievous Kevin stands his ground as his frantic mother attempts to race home before.",103 mins,"Twentieth Century Fox Film Corporation, Hughes Entertainment",United States of America,"18,000,000","476,684,675",7.1,"2,487",0.702543,https://www.foxconnect.com/home-alone-4.html,Released,/8IWPBT1rkAaI8Kpk5V3WfQRklJ7.jpg
812,tt0103639,Aladdin,Aladdin,English,Aladdin Collection,1992-11-25,"Animation, Family, Comedy, Adventure, Fantasy, Romance",Wish granted!,"Princess Jasmine grows tired of being forced to remain in the palace and she sneaks out into the marketplace in disguise where she meets street-urchin Aladdin and the two fall in love, although she may only marry a prince. After being thrown in jail, Aladdin and becomes embroiled in a plot to find a mysterious lamp with which the evil Jafar hopes to rule the land.",90 mins,Walt Disney Pictures,United States of America,"28,000,000","504,050,219",7.4,"3,495",16.357419,http://movies.disney.com/aladdin,Released,/7f53XAE4nPiGe9XprpGAeWHuKPw.jpg
10020,tt0101414,Beauty and the Beast,Beauty and the Beast,"Français, English",Beauty and the Beast Collection,1991-11-13,"Romance, Family, Animation, Fantasy, Music",The most beautiful love story ever told.,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",84 mins,"Walt Disney Pictures, Walt Disney Animation Studios, Silver Screen Partners IV",United States of America,"25,000,000","377,350,553",7.5,"3,029",23.433511,http://disney.go.com/disneyvideos/animatedfilms/beauty/?cmp=dcom_VAN_WDSHE_BEA_van_batb__Extl,Released,/b9QJr2oblOu1grgOMUZF1xkUJdh.jpg
954,tt0117060,Mission: Impossible,Mission: Impossible,"English, Français, Český",Mission: Impossible Collection,1996-05-22,"Adventure, Action, Thriller",Expect the Impossible.,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",110 mins,"Paramount Pictures, Cruise/Wagner Productions",United States of America,"80,000,000","457,696,359",6.7,"2,677",15.793477,http://www.missionimpossible.com/,Released,/vmj2PzTLC6xJvshpq8SlaYE3gbd.jpg
532,tt0112691,A Close Shave,A Close Shave,English,Wallace & Gromit Collection,1995-12-24,"Family, Animation, Comedy",From the Oscar-winning creator of A Grand Day Out and The Wrong Trousers.,"Wallace falls in love with wool-shop owner Wendolene, not suspecting that she (or rather, her dog) is at the head of a fiendish sheep-rustling plot. Gromit is set up and jailed, but his new-found sheepish friend is determine to give Wallace a helping hand in finding out the real truth.",30 mins,Aardman Animations,United Kingdom,0,0,7.5,223,6.796858,http://www.wallaceandgromit.com/films/a-close-shave,Released,/efFW4euBJIha6WVJoBPSfyui2Aa.jpg
77771,tt0070820,Touki Bouki,Touki-Bouki,"العربية, Français, Wolof","Martin Scorsese’s World Cinema Project, Vol. 1",1973-07-01,"Drama, Romance",The Journey of the Hyena,"A cowherd with a skull-mounted motorcycle and a university student meet in Dakar; put off by life in Senegal, they plan to make money in Paris.",85 mins,"Studio Kankourama, Cinegrit",Senegal,0,0,7.3,10,0.043903,http://worldcinemafoundation.org/films/touki-bouki,Released,/che94e6wSm9TWLunhsHgHfNiqTu.jpg
627,tt0117951,Trainspotting,Trainspotting,English,Trainspotting Collection,1996-02-23,"Drama, Crime",Choose life.,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",93 mins,"Miramax Films, Channel Four Films, Noel Gay Motion Picture Company, Figment Films, Film4",United Kingdom,"4,000,000","16,491,080",7.8,"2,737",19.348466,http://www.miramax.com/movie/trainspotting/,Released,/p1O3eFsdb0GEIYu87xlwV7P4jM1.jpg
10061,tt0116225,Escape from L.A.,Escape from L.A.,English,Escape From ... Collection,1996-08-09,"Action, Adventure, Science Fiction, Thriller",Snake Is Back.,"This time, a cataclysmic temblor hits Los Angeles, turning it into an island. The president views the quake as a sign from above, expels Los Angeles from the country and makes it a penal colony for those found guilty of moral crimes. When his daughter, part of a resistance movement, steals the control unit for a doomsday weapon, Snake again gets tapped to save the day.",97 mins,"Paramount Pictures, Rysher Entertainment",United States of America,"50,000,000","42,277,365",5.6,381,12.229381,http://www.theofficialjohncarpenter.com/escape-from-la/,Released,/rAjz6XFC6Zs07oraJSnajbaAbG9.jpg
238,tt0068646,The Godfather,The Godfather,"English, Italiano, Latin",The Godfather Collection,1972-03-14,"Drama, Crime",An offer you can't refuse.,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",175 mins,"Paramount Pictures, Alfran Productions",United States of America,"6,000,000","245,066,411",8.5,"6,024",41.109264,http://www.thegodfather.com/,Released,/rPdtLWNsZmAtoZl9PK7S2wE3qiS.jpg
11224,tt0042332,Cinderella,Cinderella,English,Cinderella Collection,1950-03-04,"Family, Fantasy, Animation, Romance",The greatest love story ever told.,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!",74 mins,"RKO Radio Pictures, Walt Disney Productions",United States of America,"2,900,000","263,591,415",6.8,"1,760",14.436858,http://movies.disney.com/cinderella-1950,Released,/cdf4J7tDhSPAghWWgx9EnwQWBfF.jpg
10948,tt0082406,The Fox and the Hound,The Fox and the Hound,English,The Fox and the Hound Collection,1981-07-10,"Adventure, Animation, Drama, Family",A story of two friends who didn't know they were supposed to be enemies.,"When a feisty little fox named Tod is adopted into a farm family, he quickly becomes friends with a fun and adorable hound puppy named Copper. Life is full of hilarious adventures until Copper is expected to take on his role as a hunting dog -- and the object of his search is his best friend!",82 mins,Walt Disney Productions,United States of America,"12,000,000","29,800,000",7.0,884,10.197106,http://movies.disney.com/the-fox-and-the-hound,Released,/hDXg3U4eCxuqvrb7BEDXj2tAsdK.jpg
11238,tt0115491,Aladdin and the King of Thieves,Aladdin and the King of Thieves,English,Aladdin Collection,1996-05-20,"Adventure, Animation, Family",The Spectacular Adventure Continues!,"Legendary secrets are revealed as Aladdin and his friends—Jasmine, Abu, Carpet and, of course, the always entertaining Genie—face all sorts of terrifying threats and make some exciting last-minute escapes pursuing the King Of Thieves and his villainous crew.",81 mins,Walt Disney Television Animation,United States of America,0,0,6.1,494,8.654244,http://movies.disney.com/aladdin-and-the-king-of-thieves,Released,/f6cwFA76j6aaRu1KOQ8bBYfSlLx.jpg
88,tt0092890,Dirty Dancing,Dirty Dancing,English,Dirty Dancing Collection,1987-08-21,"Drama, Music, Romance",Have the time of your life.,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer – and unexpectedly falling in love.",100 mins,"Great American Films Limited Partnership, Vestron Pictures",United States of America,"6,000,000","213,954,274",7.1,"1,371",14.044122,http://lionsgateathome.com/dirty-dancing,Released,/zMHIZHxKv6kdE3JFQqZFqj7OswK.jpg
402,tt0103772,Basic Instinct,Basic Instinct,English,Basic Instinct Collection,1992-03-20,"Thriller, Mystery",A brutal murder. A brilliant killer. A cop who can't resist the danger.,"A police detective is in charge of the investigation of a brutal murder, in which a beautiful and seductive woman could be involved.",127 mins,"TriStar Pictures, Canal+, Carolco Pictures","France, United States of America","49,000,000","352,927,224",6.5,869,16.628427,https://www.sonymoviechannel.com/movies/basic-instinct,Released,/p1DHOfLFZmM567ePKfFNMV4mY92.jpg
1103,tt0082340,Escape from New York,Escape from New York,English,Escape From ... Collection,1981-05-22,"Science Fiction, Action",1997. New York City is now a maximum security prison. Breaking out is impossible. Breaking in is insane.,"In 1997, the island of Manhattan has been walled off and turned into a giant maximum security prison within which the country's worst criminals are left to form their own anarchic society. However, when the President of the United States crash lands on the island, the authorities turn to a former soldier and current convict, Snake Plissken, to rescue him.",99 mins,"AVCO Embassy Pictures, Goldcrest Films International, International Film Investors, City Film",United States of America,"6,000,000","50,244,700",6.9,720,10.124544,http://www.theofficialjohncarpenter.com/escape-from-new-york/,Released,/z1KTbKJh7vSTTXllxxE4DWG63rT.jpg
531,tt0108598,The Wrong Trousers,The Wrong Trousers,English,Wallace & Gromit Collection,1993-12-17,"Animation, Comedy, Family",Winner of the 1993 Academy Award for Best Animated Short.,"Gromit finds himself being pushed out of his room and home by a new lodger who is actually a ruthless criminal (and a small penguin). The penguin is planning a robbery and needs to use Wallace and his mechanical remote controlled trousers to pull off the raid. However, Gromit is wise to the penguin and comes to the rescue.",30 mins,Aardman Animations,United Kingdom,0,0,7.6,266,7.771233,http://www.wallaceandgromit.com/films/the-wrong-trousers,Released,/xT2NxRbqnTXYqoVQvKSmkLEm4lE.jpg
1891,tt0080684,The Empire Strikes Back,The Empire Strikes Back,English,Star Wars Collection,1980-05-17,"Adventure, Action, Science Fiction",The Adventure Continues...,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",124 mins,"Lucasfilm, Twentieth Century Fox Film Corporation",United States of America,"18,000,000","538,400,000",8.2,"5,998",19.470959,http://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,Released,/6u1fYtxG5eqjhtCPDx04pJphQRW.jpg
85,tt0082971,Raiders of the Lost Ark,Raiders of the Lost Ark,"English, Español, Deutsch, עִבְרִית, العربية, ",Indiana Jones Collection,1981-06-12,"Adventure, Action",Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",115 mins,"Lucasfilm, Paramount Pictures",United States of America,"18,000,000","389,925,971",7.7,"3,949",19.901576,http://www.indianajones.com,Released,/44sKJOGP3fTm4QXBcIuqu0RkdP7.jpg
429,tt0060196,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",Italiano,The Man With No Name Collection,1966-12-23,Western,For three men the Civil War wasn't hell. It was practice.,"While the Civil War rages between the Union and the Confederacy, three men – a quiet loner, a ruthless hit man and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",161 mins,"United Artists, Constantin Film Produktion, Produzioni Europee Associati (PEA), Arturo González Producciones Cinematográficas S.A.","United States of America, Italy, Spain, Germany","1,200,000","6,000,000",8.1,"2,371",16.788787,"http://www.mgm.com/#/our-titles/766/The-Good,-the-Bad-and-the-Ugly",Released,/wfPHdfofBD5PN96dV96a51B3Ja2.jpg
1892,tt0086190,Return of the Jedi,Return of the Jedi,English,Star Wars Collection,1983-05-23,"Adventure, Action, Science Fiction",The Empire Falls...,"As Rebel leaders map their strategy for an all-out attack on the Emperor's newer, bigger Death Star. Han Solo remains frozen in the cavernous desert fortress of Jabba the Hutt, the most loathsome outlaw in the universe, who is also keeping Princess Leia as a slave girl. Now a master of the Force, Luke Skywalker rescues his friends, but he cannot become a true Jedi Knight until he wages his own crucial battle against Darth Vader, who has sworn to win Luke over to the dark side of the Force.",135 mins,"Lucasfilm, Twentieth Century Fox Film Corporation",United States of America,"32,350,000","572,700,000",7.9,"4,763",14.586087,http://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi,Released,/jx5p0aHlbPXqe3AH9G15NvmWaqQ.jpg
348,tt0078748,Alien,Alien,"English, Español",Alien Collection,1979-05-25,"Horror, Action, Thriller, Science Fiction",In space no one can hear you scream.,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",117 mins,"Twentieth Century Fox Film Corporation, Brandywine Productions","United States of America, United Kingdom","11,000,000","104,931,801",7.9,"4,564",23.37742,https://www.facebook.com/alienanthology/,Released,/2h00HrZs89SL3tXB4nbkiM7BKHs.jpg
218,tt0088247,The Terminator,The Terminator,English,The Terminator Collection,1984-10-26,"Action, Thriller, Science Fiction",Your future is in his hands.,"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",108 mins,"Orion Pictures, Pacific Western, Hemdale Film, Cinema 84, Euro Film Funding","United Kingdom, United States of America","6,400,000","78,371,200",7.4,"4,208",19.293562,http://www.mgm.com/#/our-titles/1970/The-Terminator/,Released,/q8ffBuxQlYOHrvPniLgCbmKK4Lv.jpg
105,tt0088763,Back to the Future,Back to the Future,English,Back to the Future Collection,1985-07-03,"Adventure, Comedy, Science Fiction, Family",He's the only kid ever to get into trouble before he was born.,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",116 mins,"Universal Pictures, Amblin Entertainment, U-Drive Productions",United States of America,"19,000,000","381,109,762",8.0,"6,239",25.778509,http://www.backtothefuture.com/movies/backtothefuture1,Released,/pTpxQB1N0waaSc3OSn0e9oc8kx9.jpg
756,tt0032455,Fantasia,Fantasia,English,Fantasia Collection,1940-11-13,"Animation, Family, Music",The most sensational sound you'll ever see!,"Walt Disney's timeless masterpiece is an extravaganza of sight and sound! See the music come to life, hear the pictures burst into song and experience the excitement that is Fantasia over and over again.",124 mins,Walt Disney Pictures,United States of America,"2,280,000","83,320,000",7.2,831,8.03796,http://movies.disney.com/fantasia,Released,/dYZ1r3MJnXVGBBSYKgpd8UWGyFw.jpg
89,tt0097576,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,"Deutsch, ελληνικά, English",Indiana Jones Collection,1989-05-24,"Adventure, Action","The man with the hat is back. And this time, he's bringing his Dad.","When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.",127 mins,"Lucasfilm, Paramount Pictures",United States of America,"48,000,000","474,171,806",7.6,"3,221",14.788987,http://www.indianajones.com/crusade,Released,/4p1N2Qrt8j0H8xMHMHvtRxv9weZ.jpg
199,tt0117731,Star Trek: First Contact,Star Trek: First Contact,English,Star Trek: The Next Generation Collection,1996-11-21,"Science Fiction, Action, Adventure, Thriller",Resistance is futile.,"The Borg, a relentless race of cyborgs, are on a direct course for Earth. Violating orders to stay away from the battle, Captain Picard and the crew of the newly-commissioned USS Enterprise E pursue the Borg back in time to prevent the invaders from changing Federation history and assimilating the galaxy.",111 mins,"Paramount Pictures, Digital Image Associates",United States of America,"46,000,000","150,000,000",7.0,671,8.808497,http://www.startrek.com/startrek/view/series/MOV/008/index.html,Released,/qhVB8eUGwkdVvd8Fezk0AgcMPDH.jpg
578,tt0073195,Jaws,Jaws,English,The Jaws Collection,1975-06-18,"Horror, Thriller, Adventure",Don't go in the water.,"An insatiable great white shark terrorizes the townspeople of Amity Island, The police chief, an oceanographer and a grizzled shark hunter seek to destroy the bloodthirsty beast.",124 mins,"Universal Pictures, Zanuck/Brown Productions",United States of America,"7,000,000","470,654,000",7.5,"2,628",19.726114,http://www.jaws25.com/,Released,/l1yltvzILaZcx2jYvc5sEMkM7Eh.jpg
607,tt0119654,Men in Black,Men in Black,"English, Español",Men In Black Collection,1997-07-02,"Action, Adventure, Comedy, Science Fiction",Protecting the Earth from the scum of the universe.,"Men in Black follows the exploits of agents Kay and Jay, members of a top-secret organization established to monitor and police alien activity on Earth. The two Men in Black find themselves in the middle of the deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies. In order to prevent worlds from colliding, the MiB must track down the terrorist and prevent the destruction of Earth. It's just another typical day for the Men in Black.",98 mins,"Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",United States of America,"90,000,000","589,390,539",6.9,"4,521",15.781024,http://www.sonypictures.com/homevideo/meninblack/,Released,/f24UVKq3UiQWLqGWdqjwkzgB8j8.jpg
1669,tt0099810,The Hunt for Red October,The Hunt for Red October,"English, Pусский",The Jack Ryan Collection,1990-03-02,"Action, Adventure, Thriller",Invisible. Silent. Stolen.,"A new Soviet nuclear missile sub (a Boomer) heading out on her maiden voyage that is being tracked by a Los Angeles class American submarine suddenly goes silent and ""disappears"". This focuses the attention of both U.S. Intelligence and the U.S. Navy on the Russian Sub Commander . When it is determined that the silent Soviet Boomer may be headed for American coastal waters panic ensues. A CIA analyst, Jack Ryan, convinces the brass that the Boomer's commander may intend something other than a nuclear first strike in mind. A perilous and tense cat-and-mouse game ensues.",134 mins,"Paramount Pictures, Nina Saxon Film Design, Mace Neufeld Productions",United States of America,"30,000,000","199,200,000",7.2,971,15.91126,http://www.paramount.com/movies/hunt-red-october,Released,/bqvlKYlWq2uibsuVzKTWseeccd2.jpg
9714,tt0119303,Home Alone 3,Home Alone 3,"Polski, English",Home Alone Collection,1997-12-12,"Comedy, Family",Ready for more. Much more.,"9-year-old Alex Pruitt is home alone with the chicken pox. Turns out, due to a mix-up among nefarious spies, Alex was given a toy car concealing a top-secret microchip. Now Alex must fend off the spies as they try break into his house to get it back.",102 mins,"Twentieth Century Fox Film Corporation, Hughes Entertainment",United States of America,"32,000,000","79,082,515",5.1,632,8.04209,http://www.ha3.com/,Released,/z6ugEdjGuY4qcX1ymdV2CTVSvKN.jpg
714,tt0120347,Tomorrow Never Dies,Tomorrow Never Dies,"Deutsch, English, Dansk, 普通话, 广州话 / 廣州話",James Bond Collection,1997-12-11,"Adventure, Action, Thriller",Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.,A deranged media mogul is staging international incidents to pit the world's superpowers against each other. Now 007 must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium.,119 mins,Eon Productions,"United Kingdom, United States of America","110,000,000","333,011,068",6.0,941,17.159576,http://www.mgm.com/view/movie/2029/Tomorrow-Never-Dies/,Released,/k3eI9q7ISgpDEu2CMwR2s6inJVp.jpg
948,tt0077651,Halloween,Halloween,English,Halloween Collection,1978-10-25,"Horror, Thriller",The Night He Came Home,"In John Carpenter's horror classic, a psychotic murderer, institutionalized since childhood for the murder of his sister, escapes and stalks a bookish teenage girl and her friends while his doctor chases him through the streets.",91 mins,"Compass International Pictures, Falcon International Productions",United States of America,"300,000","70,000,000",7.4,"1,066",13.672759,http://www.theofficialjohncarpenter.com/halloween/,Released,/vjoOFOTBJcJvA1weJejlZ92LZD4.jpg
11281,tt0082495,Halloween II,Halloween II,English,Halloween Collection,1981-10-30,"Horror, Thriller",The nightmare isn't over!,"After failing to kill stubborn survivor Laurie and taking a bullet or six from former psychiatrist Dr. Sam Loomis, Michael Myers has followed Laurie to the Haddonfield Memorial Hospital, where she's been admitted for Myers' attempt on her life. The institution proves to be particularly suited to serial killers, however, as Myers cuts, stabs and slashes his way through hospital staff to reach his favorite victim.",92 mins,Universal Pictures,United States of America,"2,500,000","25,533,818",6.4,370,13.501144,https://www.uphe.com/movies/halloween-ii,Released,/9oXa66gARefZBuca4xpD8EFbcVg.jpg
9552,tt0070047,The Exorcist,The Exorcist,"Deutsch, Français, Latin, العربية, ελληνικά, English",The Exorcist Collection,1973-12-26,"Drama, Horror, Thriller","Something almost beyond comprehension is happening to a girl on this street, in this house... and a man has been sent for as a last resort. This man is The Exorcist.","12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith.",122 mins,"Warner Bros., Hoya Productions",United States of America,"8,000,000","441,306,145",7.5,"2,046",12.137595,http://theexorcist.warnerbros.com/,Released,/mBLSuXTAJExUFdqYFgZro7Y9ZDG.jpg
